a5,b1,b11,b12,c1,c15,c28,c33,c35,c5,centre,christian,conserv,d4,d6,d9,e4,e5,e7,f1,f2,f27,f3,f30,f32,f5,green,happy,leftparty,liberal,socialdemocrats
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,Extremely happy,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Agree strongly,Neither agree nor disagr,Agree,2.000000,Female,No,1935.000,"Yes, currently",F,A big city,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,CONSERVATIVE,7,Good,Yes,Yes,Yes,No,0,0,1,Yes,No,2.000000,Agree,Neither agree nor disagr,Agree,7.000000,Male,No,1969.000,"Yes, previously",K,Farm or home in countrys,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CHRISTIAN DEMOCRATS,8,Bad,Yes,Yes,Yes,No,0,1,0,Yes,Yes,3.000000,Agree,Agree,Disagree strongly,1.000000,Female,No,1940.000,"Yes, previously",M,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,No,NOT APPLICABLE,7,Fair,No,No,No,No,0,0,0,Yes,Yes,3.000000,Agree,Neither agree nor disagr,Neither agree nor disagr,3.000000,Male,Yes,1950.000,"Yes, currently",P,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,SOCIAL DEMOCRATS,8,Good,No,No,No,No,0,0,0,Yes,Yes,4.000000,Neither agree nor disagr,Agree,Agree strongly,6.000000,Female,No,1975.000,"Yes, currently",D,Farm or home in countrys,0,1,0,0,1
"Less than 0,5 hour",Quite interested,Yes,CENTRE PARTY,9,Good,Yes,Yes,Yes,No,1,0,0,Yes,Yes,2.000000,Agree,Neither agree nor disagr,Neither agree nor disagr,2.000000,Female,No,1939.000,"Yes, previously",S,Farm or home in countrys,0,1,0,0,0
"More than 1 hour, up to ",Very interested,Yes,REFUSAL,Extremely happy,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,1.000000,Agree,Agree strongly,Agree,1.000000,Female,No,1926.000,"Yes, previously",Refusal,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,CONSERVATIVE,9,Very good,Yes,Yes,Yes,Yes,0,0,1,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Agree,4.000000,Female,Yes,1965.000,"Yes, currently",H,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Quite interested,No,NOT APPLICABLE,Extremely happy,Good,Yes,No,Yes,Yes,0,0,0,Yes,Yes,Not applicable,Agree,Agree strongly,Agree,2.000000,Male,Yes,1972.000,"Yes, previously",K,Town or small city,0,1,0,0,0
No time at all,Quite interested,Yes,GREEN PARTY,7,Good,Yes,Yes,Yes,No,0,0,0,Yes,No,Not applicable,Neither agree nor disagr,Agree,Agree,1.000000,Female,Yes,1985.000,No,M,Town or small city,1,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,LIBERALS,8,Very good,Yes,Yes,Yes,No,0,0,0,Yes,No,Not applicable,Agree,Neither agree nor disagr,Agree,2.000000,Female,No,1982.000,"Yes, currently",D,Town or small city,0,1,0,1,0
"0,5 hour to 1 hour",Quite interested,Yes,GREEN PARTY,9,Good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,4.000000,Female,No,1975.000,"Yes, currently",D,Country village,1,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,REFUSAL,9,Very good,Yes,Yes,No,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,3.000000,Female,No,1958.000,"Yes, currently",P,A big city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,9,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Agree,Agree,Agree,2.000000,Male,No,1953.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CONSERVATIVE,Extremely happy,Very good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Agree,4.000000,Male,No,1951.000,"Yes, currently",H,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,REFUSAL,8,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,1.000000,Agree,Agree,Agree,2.000000,Female,No,1951.000,"Yes, currently",H,A big city,0,1,0,0,0
"More than 1 hour, up to ",Very interested,Yes,NO ANSWER,5,Fair,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Neither agree nor disagr,Neither agree nor disagr,Agree,2.000000,Female,No,1939.000,"Yes, previously",K,Suburbs or outskirts of ,0,0,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,6,Fair,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Neither agree nor disagr,Neither agree nor disagr,Neither agree nor disagr,2.000000,Male,No,1935.000,"Yes, previously",S,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,SOCIAL DEMOCRATS,7,Good,No,No,No,No,0,0,0,No,No,Not applicable,Neither agree nor disagr,Agree,Neither agree nor disagr,2.000000,Female,Yes,1984.000,No,F,Town or small city,0,1,0,0,1
"Less than 0,5 hour",Quite interested,Yes,SOCIAL DEMOCRATS,8,Very good,Yes,Yes,Yes,No,0,0,0,Yes,No,Not applicable,Agree,Agree strongly,Agree,2.000000,Male,No,1978.000,No,P,Town or small city,0,1,0,0,1
"Less than 0,5 hour",Quite interested,Yes,CHRISTIAN DEMOCRATS,8,Very good,Yes,Yes,Yes,No,0,1,0,Yes,Yes,3.000000,Neither agree nor disagr,Agree,Agree,3.000000,Male,No,1970.000,"Yes, currently",P,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Not at all interested,No,NOT APPLICABLE,7,Good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Neither agree nor disagr,Neither agree nor disagr,Neither agree nor disagr,4.000000,Female,No,1985.000,No,K,A big city,0,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,CENTRE PARTY,9,Very good,Yes,Yes,Yes,No,1,0,0,Yes,Yes,4.000000,Agree,Agree,Agree,5.000000,Male,No,1958.000,No,D,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,8,Very good,Yes,Yes,Yes,No,0,0,1,No,No,Not applicable,Agree strongly,Agree strongly,Neither agree nor disagr,3.000000,Male,No,1988.000,No,Don't know,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,8,Good,No,No,No,Yes,0,0,0,Yes,Yes,5.000000,Neither agree nor disagr,Agree,Agree,4.000000,Female,No,1955.000,"Yes, currently",D,Country village,0,1,0,0,1
"0,5 hour to 1 hour",Very interested,Yes,CENTRE PARTY,9,Very good,Yes,Yes,Yes,Yes,1,0,0,Yes,No,2.000000,Agree,Agree,Agree,3.000000,Female,No,1957.000,"Yes, currently",H,A big city,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CONSERVATIVE,7,Fair,Yes,No,Yes,No,0,0,1,Yes,No,1.000000,Agree,Agree,Agree,2.000000,Male,No,1977.000,No,H,Suburbs or outskirts of ,0,1,0,0,0
No time at all,Hardly interested,Yes,SOCIAL DEMOCRATS,8,Good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Neither agree nor disagr,Agree,Agree,1.000000,Female,No,1986.000,No,M,Town or small city,0,1,0,0,1
"More than 1 hour, up to ",Hardly interested,Yes,CONSERVATIVE,Extremely happy,Very good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,4.000000,Agree strongly,Agree strongly,Agree strongly,2.000000,Male,No,1934.000,"Yes, currently",P,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,SOCIAL DEMOCRATS,7,Good,Yes,No,Yes,No,0,0,0,Yes,No,3.000000,Disagree,Agree,Disagree,5.000000,Female,No,1969.000,"Yes, currently",D,Country village,0,1,0,0,1
"Less than 0,5 hour",Not at all interested,Yes,SOCIAL DEMOCRATS,Extremely happy,Very good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Agree strongly,Agree strongly,Agree strongly,2.000000,Female,No,1987.000,No,Don't know,Town or small city,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,GREEN PARTY,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,No,Not applicable,Agree,Agree,Agree,2.000000,Female,No,1949.000,"Yes, previously",D,A big city,1,1,0,0,0
"Less than 0,5 hour",Very interested,Yes,CONSERVATIVE,8,Very good,Yes,Yes,Yes,No,0,0,1,Yes,No,1.000000,Agree,Agree strongly,Agree,2.000000,Female,No,1943.000,"Yes, previously",D,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Not at all interested,Not eligible to vote,NOT APPLICABLE,8,Very good,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Neither agree nor disagr,Agree,Agree,5.000000,Male,No,1990.000,No,Don't know,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Not at all interested,Yes,SOCIAL DEMOCRATS,8,Bad,Yes,No,Yes,No,0,0,0,Yes,No,Not applicable,Neither agree nor disagr,Agree strongly,Agree,3.000000,Female,Yes,1986.000,No,F,Town or small city,0,1,0,0,1
"0,5 hour to 1 hour",Very interested,Yes,REFUSAL,5,Fair,Yes,Yes,Yes,No,0,0,0,Yes,Yes,Not applicable,Agree,Neither agree nor disagr,Agree,2.000000,Male,Yes,1944.000,"Yes, currently",Don't know,Farm or home in countrys,0,0,0,0,0
"0,5 hour to 1 hour",Very interested,Yes,LIBERALS,8,Fair,Yes,Yes,Yes,No,0,0,0,Yes,No,Not applicable,Agree,Agree,Agree,1.000000,Female,No,1926.000,"Yes, currently",S,Town or small city,0,1,0,1,0
"More than 1 hour, up to ",Very interested,Yes,GREEN PARTY,7,Fair,Yes,Yes,Yes,No,0,0,0,No,No,Not applicable,Disagree,Agree,Disagree,1.000000,Male,Yes,1969.000,"Yes, currently",M,A big city,1,1,0,0,0
"Less than 0,5 hour",Hardly interested,Yes,GREEN PARTY,8,Good,Yes,Yes,Yes,No,0,0,0,Yes,No,1.000000,Neither agree nor disagr,Neither agree nor disagr,Agree,3.000000,Female,Yes,1973.000,"Yes, currently",D,A big city,1,1,0,0,0
"Less than 0,5 hour",Not at all interested,Not eligible to vote,NOT APPLICABLE,8,Bad,No,No,No,No,0,0,0,No,No,Not applicable,Neither agree nor disagr,Agree,Neither agree nor disagr,1.000000,Male,Yes,1985.000,No,F,Suburbs or outskirts of ,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CENTRE PARTY,9,Good,Yes,Yes,Yes,No,1,0,0,Yes,No,3.000000,Agree strongly,Agree,Agree,3.000000,Male,Yes,1957.000,"Yes, previously",D,Town or small city,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,LEFT,6,Very good,No,No,Yes,No,0,0,0,Yes,Yes,2.000000,Disagree,Disagree,Disagree,1.000000,Female,No,1918.000,"Yes, previously",F,Farm or home in countrys,0,1,1,0,0
No time at all,Hardly interested,Yes,SOCIAL DEMOCRATS,8,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,5.000000,Agree,Agree,Agree,4.000000,Male,No,1956.000,"Yes, currently",P,Country village,0,1,0,0,1
"Less than 0,5 hour",Very interested,Yes,CONSERVATIVE,8,Good,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Agree,Agree,Agree,4.000000,Female,No,1961.000,"Yes, currently",H,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Very interested,No,NOT APPLICABLE,9,Very good,Yes,Yes,Yes,No,0,0,0,Yes,No,2.000000,Agree strongly,Agree,Agree,3.000000,Male,No,1948.000,"Yes, currently",D,Suburbs or outskirts of ,0,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,8,Fair,Yes,Yes,No,No,0,0,1,Yes,No,Not applicable,Agree,Agree,Agree,2.000000,Male,No,1975.000,No,D,A big city,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,CHRISTIAN DEMOCRATS,8,Good,Yes,Yes,Yes,No,0,1,0,Yes,Yes,3.000000,Agree,Agree,Agree,2.000000,Female,No,1952.000,"Yes, currently",P,Country village,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,SOCIAL DEMOCRATS,8,Fair,Yes,Yes,No,Yes,0,0,0,Yes,Yes,4.000000,Agree,Agree,Agree,1.000000,Female,No,1940.000,"Yes, currently",P,Suburbs or outskirts of ,0,1,0,0,1
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,8,Fair,Yes,Yes,Yes,No,0,0,1,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Agree,2.000000,Male,No,1924.000,"Yes, currently",D,A big city,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,GREEN PARTY,7,Very good,Yes,Yes,Yes,No,0,0,0,Yes,Yes,2.000000,Agree,Agree,Agree,4.000000,Female,Yes,1960.000,"Yes, currently",P,Suburbs or outskirts of ,1,1,0,0,0
"0,5 hour to 1 hour",Quite interested,Yes,CONSERVATIVE,8,Fair,No,No,No,No,0,0,1,Yes,Yes,2.000000,Neither agree nor disagr,Agree,Agree,4.000000,Male,Yes,1967.000,"Yes, currently",P,A big city,0,1,0,0,0
"More than 1 hour, up to ",Quite interested,No,NOT APPLICABLE,8,Very good,No,No,No,No,0,0,0,No,No,Not applicable,Agree,Agree,Agree,6.000000,Male,No,1986.000,No,P,A big city,0,1,0,0,0
"0,5 hour to 1 hour",Hardly interested,Yes,CONSERVATIVE,6,Good,Yes,Yes,Yes,No,0,0,1,Yes,No,Not applicable,Agree,Neither agree nor disagr,Agree,2.000000,Female,No,1953.000,"Yes, currently",P,Town or small city,0,1,0,0,0
"Less than 0,5 hour",Quite interested,Yes,CHRISTIAN DEMOCRATS,8,Good,Yes,Yes,Yes,No,0,1,0,No,No,Not applicable,Neither agree nor disagr,Agree,Agree,1.000000,Male,No,1976.000,No,S,Country village,0,1,0,0,0
